station,network,year,doy,fpath
KEMF,NV,2017,178,/fd1/yiyu_data/Endeavour/data//NV/2017/178/KEMF.NV.2017.178
KEMO,NV,2017,178,/fd1/yiyu_data/Endeavour/data//NV/2017/178/KEMO.NV.2017.178
NCHR,NV,2017,178,/fd1/yiyu_data/Endeavour/data//NV/2017/178/NCHR.NV.2017.178
ENWF,NV,2017,179,/fd1/yiyu_data/Endeavour/data//NV/2017/179/ENWF.NV.2017.179
KEMF,NV,2017,179,/fd1/yiyu_data/Endeavour/data//NV/2017/179/KEMF.NV.2017.179
KEMO,NV,2017,179,/fd1/yiyu_data/Endeavour/data//NV/2017/179/KEMO.NV.2017.179
NCHR,NV,2017,179,/fd1/yiyu_data/Endeavour/data//NV/2017/179/NCHR.NV.2017.179
ENWF,NV,2017,180,/fd1/yiyu_data/Endeavour/data//NV/2017/180/ENWF.NV.2017.180
KEMF,NV,2017,180,/fd1/yiyu_data/Endeavour/data//NV/2017/180/KEMF.NV.2017.180
KEMO,NV,2017,180,/fd1/yiyu_data/Endeavour/data//NV/2017/180/KEMO.NV.2017.180
NCHR,NV,2017,180,/fd1/yiyu_data/Endeavour/data//NV/2017/180/NCHR.NV.2017.180
ENWF,NV,2017,181,/fd1/yiyu_data/Endeavour/data//NV/2017/181/ENWF.NV.2017.181
KEMF,NV,2017,181,/fd1/yiyu_data/Endeavour/data//NV/2017/181/KEMF.NV.2017.181
KEMO,NV,2017,181,/fd1/yiyu_data/Endeavour/data//NV/2017/181/KEMO.NV.2017.181
NCHR,NV,2017,181,/fd1/yiyu_data/Endeavour/data//NV/2017/181/NCHR.NV.2017.181
